0,1
absolut,1
chart,30
area,3
curv,1
bar,4
graph,38
cumul,1
horizon,9
index,7
line,32
plot,11
portion,1
rate,18
unumploy,1
stack,11
unemploy,34
u.s.,11
worker,11
industri,8
stock,23
analysi,1
gain,1
growth,2
market,1
technolog,3
time,4
us,6
total,1
count,1
person,1
compound,1
densiti,2
trend,9
multi,1
price,1
seri,1
variat,2
with,2
employ,2
profess,1
deviat,1
from,1
averag,2
depict,1
across,1
domain,1
decad,1
sectorwis,1
nation,1
annual,1
shade,1
intersect,1
set,1
and,1
histograph,1
had,1
a,1
babi,1
multipl,3
"
industri",1
gains/loss,1
"
rate",1
hisgram,1
industry-wis,1
of,1
select,2
tecgnolog,1
industry-bas,1
tech,2
by,1
sector,2
layer,1
graph:,1
small,2
normal,1
